1009.37;-1256.48;7.91162;
1009.4;-1256.51;7.90871;
1009.37;-1256.77;7.90767;
1009.4;-1256.63;7.90837;
1009.4;-1256.63;7.90837;
1009.46;-1256.89;7.90906;
1009.37;-1256.54;7.9074;
1009.76;-1256.74;7.908;
1009.53;-1256.76;7.9086;
1009.63;-1256.77;7.90969;
1009.63;-1256.77;7.90969;
1009.37;-1256.77;7.90811;
1009.37;-1256.77;7.90618;
1009.46;-1256.89;7.91013;
1009.46;-1256.89;7.91013;
1009.54;-1256.85;7.90821;
1009.67;-1256.61;7.9127;
1009.45;-1256.7;7.90669;
1009.45;-1256.7;7.90669;
1009.32;-1256.63;7.90887;
1009.32;-1256.63;7.90887;
1009.14;-1256.6;7.91046;
1009.53;-1256.85;7.91123;
1009.46;-1256.66;7.9141;
1009.46;-1256.66;7.9141;
1009.54;-1256.39;7.90921;
1009.42;-1256.92;7.90956;
1009.63;-1256.77;7.90707;
1009.63;-1256.77;7.90707;
1009.46;-1256.89;7.9119;
1009.4;-1256.63;7.90843;
1009.18;-1256.63;7.90892;
1009.23;-1256.75;7.90671;
1009.53;-1256.7;7.90844;
1009.53;-1256.7;7.90844;
1009.42;-1256.63;7.90968;
1009.31;-1256.64;7.90849;
1009.4;-1256.63;7.91483;
1009.4;-1256.63;7.91483;
1009.5;-1256.84;7.90886;
1009.4;-1256.71;7.90553;
1009.84;-1256.62;7.90986;
1009.29;-1256.55;7.91374;
1009.39;-1256.53;7.91057;
1009.39;-1256.53;7.91057;
1009.3;-1256.56;7.90733;
1009.69;-1256.37;7.90768;
1009.26;-1256.6;7.91354;
1009.26;-1256.6;7.91354;
1009.4;-1256.63;7.90815;
1009.48;-1256.51;7.90645;
1009.36;-1256.81;7.9073;
1009.53;-1256.34;7.90956;
1009.49;-1256.75;7.91071;
1009.49;-1256.75;7.91071;
1009.67;-1256.92;7.90946;
1009.63;-1256.77;7.91178;
1009.69;-1256.65;7.90915;
1009.69;-1256.65;7.90915;
1009.53;-1256.7;7.91098;
1009.45;-1256.65;7.90672;
1009.47;-1256.85;7.90994;
1009.47;-1256.85;7.90994;
1009.55;-1256.74;7.91984;
1009.5;-1256.84;7.91197;
1009.23;-1256.77;7.91099;
1009.5;-1256.12;7.91432;
1009.52;-1256.6;7.90828;
1009.52;-1256.6;7.90828;
1009.47;-1256.7;7.92169;
1008.99;-1256.88;7.94384;
1009.6;-1256.92;7.97506;
1009.6;-1256.92;7.97506;
1009.49;-1256.75;8.00228;
1009.52;-1256.28;8.0262;
1009.33;-1256.45;8.05541;
1009.18;-1256.04;8.08882;
1008.68;-1255.35;8.10709;
1008.68;-1255.35;8.10709;
1008.56;-1255.15;8.14369;
1008.63;-1255.23;8.17016;
1009.35;-1255.07;8.21111;
1009.79;-1255.2;8.24029;
1009.72;-1255.22;8.26127;
1009.72;-1255.22;8.26127;
1009.89;-1255.62;8.29266;
1009.84;-1255.38;8.32177;
